time,seconds_elapsed,z,y,x
1681262544604983800,0.01198388671875,-0.1163482666015625,-0.12164306640625,-0.9305877685546875
1681262544615015700,0.022015625,-0.144134521484375,-0.104827880859375,-0.88555908203125
1681262544625048800,0.032048828125,-0.1678924560546875,-0.0963897705078125,-0.8565826416015625
1681262544635080700,0.042080810546875,-0.1864471435546875,-0.10723876953125,-0.86590576171875
1681262544645112800,0.05211279296875,-0.1968536376953125,-0.1064453125,-0.907745361328125
1681262544655145000,0.06214501953125,-0.2043914794921875,-0.1013336181640625,-0.960906982421875
1681262544665176800,0.0721767578125,-0.2102813720703125,-0.0909576416015625,-0.99298095703125
1681262544675208700,0.082208740234375,-0.2183990478515625,-0.06939697265625,-0.9727935791015625
1681262544685241600,0.09224169921875,-0.23919677734375,-0.0389862060546875,-0.9275360107421875
1681262544695274000,0.10227392578125,-0.287933349609375,-0.009521484375,-0.8923492431640625
1681262544705305900,0.112305908203125,-0.317169189453125,0.01470947265625,-0.870452880859375
1681262544715337700,0.122337646484375,-0.285430908203125,0.072021484375,-0.836181640625
1681262544725369900,0.132369873046875,-0.2682952880859375,-0.0048370361328125,-0.85137939453125
1681262544735402000,0.142402099609375,-0.2627410888671875,-0.07733154296875,-0.8893585205078125
1681262544745433900,0.152433837890625,-0.25762939453125,-0.0408782958984375,-0.9648590087890625
1681262544755466800,0.162466796875,-0.249725341796875,0.0326080322265625,-1.0196990966796875
1681262544765499000,0.172498779296875,-0.257354736328125,0.0504302978515625,-1.0104522705078125
1681262544775530800,0.18253076171875,-0.290283203125,0.02642822265625,-0.9704437255859375
1681262544785563000,0.19256298828125,-0.3079986572265625,0.0365753173828125,-0.92919921875
1681262544795595000,0.202594970703125,-0.3001861572265625,0.028076171875,-0.9163970947265625
1681262544805627000,0.212626953125,-0.2965087890625,-0.012054443359375,-0.960906982421875
1681262544815658800,0.22265869140625,-0.2796173095703125,-0.042633056640625,-1.042449951171875
1681262544825691600,0.232691650390625,-0.2245635986328125,-0.0285491943359375,-1.1040191650390625
1681262544835723800,0.242723876953125,-0.1399078369140625,-0.0193634033203125,-1.07196044921875
1681262544845756000,0.252755859375,-0.060089111328125,-0.020111083984375,-0.938262939453125
1681262544855787800,0.262787841796875,-0.0054473876953125,0.0332183837890625,-0.713958740234375
1681262544865820000,0.27281982421875,-0.0672607421875,0.0567626953125,-0.6042938232421875
1681262544875851800,0.282851806640625,-0.1652679443359375,0.051177978515625,-0.7078094482421875
1681262544885884000,0.2928837890625,-0.1714935302734375,0.0009613037109375,-0.9222412109375
1681262544895916800,0.302916748046875,-0.0942230224609375,-0.0415496826171875,-1.0859222412109375
1681262544905949000,0.312948974609375,0.08203125,-0.0351715087890625,-1.2042236328125
1681262544915980800,0.322980712890625,0.2567901611328125,-0.008209228515625,-1.2423248291015625
1681262544926012700,0.3330126953125,0.28521728515625,0.03228759765625,-1.1387786865234375
1681262544936044800,0.343044921875,0.2621002197265625,0.0711822509765625,-1.033782958984375
1681262544946077000,0.353076904296875,0.2141571044921875,0.0809173583984375,-0.93316650390625
1681262544956108800,0.36310888671875,0.1716461181640625,0.0928192138671875,-0.89532470703125
1681262544966141700,0.3731416015625,0.1757049560546875,0.0814666748046875,-0.925079345703125
1681262544976173800,0.383173828125,0.2289581298828125,0.09234619140625,-0.9612579345703125
1681262544986205700,0.393205810546875,0.35205078125,0.0769500732421875,-1.0299835205078125
1681262544996237800,0.40323779296875,0.505615234375,0.0341033935546875,-1.0897369384765625
1681262545006269700,0.413269775390625,0.5883941650390625,0.015350341796875,-1.084686279296875
1681262545016301800,0.4233017578125,0.615509033203125,0.01739501953125,-1.054229736328125
1681262545026333700,0.433333740234375,0.5699005126953125,0.020965576171875,-0.9869232177734375
1681262545036366600,0.44336669921875,0.3154144287109375,0.0322723388671875,-0.922760009765625
1681262545046399000,0.45339892578125,0.1905975341796875,0.04974365234375,-0.947418212890625
1681262545056430800,0.463430908203125,0.177886962890625,0.04034423828125,-1.007843017578125
1681262545066462700,0.473462646484375,0.2538909912109375,0.034332275390625,-1.0095977783203125
1681262545076494600,0.48349462890625,0.45556640625,0.0360107421875,-1.0293731689453125
1681262545086527000,0.49352685546875,0.7690887451171875,0.0269775390625,-1.059539794921875
1681262545096558800,0.503558837890625,0.82916259765625,0.0429840087890625,-0.9989471435546875
1681262545106591700,0.513591796875,0.670867919921875,0.1134490966796875,-0.9182281494140625
1681262545116624000,0.523623779296875,0.55487060546875,0.1945037841796875,-0.84063720703125
1681262545126655700,0.53365576171875,0.4925689697265625,0.220428466796875,-0.80413818359375
1681262545136687900,0.54368798828125,0.449859619140625,0.2153778076171875,-0.8105010986328125
1681262545146719700,0.5537197265625,0.46929931640625,0.1989898681640625,-0.826141357421875
1681262545156752000,0.563751953125,0.53082275390625,0.17755126953125,-0.8342437744140625
1681262545166784800,0.57378466796875,0.58062744140625,0.152130126953125,-0.8233489990234375
1681262545176816000,0.583816162109375,0.6054840087890625,0.1080474853515625,-0.8033599853515625
1681262545186848300,0.59384814453125,0.6189727783203125,0.05548095703125,-0.807403564453125
1681262545196880400,0.60388037109375,0.62786865234375,0.0166473388671875,-0.8236083984375
1681262545206912300,0.613912353515625,0.625579833984375,-0.0025482177734375,-0.807373046875
1681262545216944000,0.623944091796875,0.6081695556640625,-0.0089111328125,-0.8207855224609375
1681262545226976300,0.633976318359375,0.589599609375,0.0279541015625,-0.8414459228515625
1681262545237009400,0.644009521484375,0.561767578125,0.081329345703125,-0.8132476806640625
