time,seconds_elapsed,dBFS
1684213362697000000,22.292,-52.15248107910156
1684213362797000000,22.392,-54.11591720581055
1684213362897000000,22.492,-49.205718994140625
1684213362997000000,22.592,-51.87272262573242
1684213363097000000,22.692,-52.05037307739258
1684213363197000000,22.792,-52.291561126708984
1684213363297000000,22.892,-54.321922302246094
1684213363397000000,22.992,-55.945796966552734
1684213363497000000,23.092,-52.615028381347656
1684213363597000000,23.192,-53.47440719604492
1684213363697000000,23.292,-54.4686393737793
1684213363797000000,23.392,-56.48019790649414
1684213363897000000,23.492,-55.37540817260742
1684213363997000000,23.592,-49.70635986328125
1684213364097000000,23.692,-52.27299118041992
1684213364197000000,23.792,-54.00102996826172
1684213364297000000,23.892,-54.008445739746094
1684213364397000000,23.992,-52.787147521972656
1684213364498000000,24.092999755859374,-54.642330169677734
1684213364597000000,24.192,-52.271602630615234
1684213364697000000,24.292,-49.840518951416016
1684213364797000000,24.392,-50.14619445800781
1684213364914000000,24.508999755859374,-52.64034652709961
1684213365031000000,24.626,-51.45927047729492
1684213365130000000,24.724999755859375,-53.59246063232422
1684213365230000000,24.825000244140625,-51.80913543701172
1684213365330000000,24.924999755859375,-49.29610061645508
1684213365430000000,25.025000244140625,-51.5092658996582
1684213365530000000,25.124999755859374,-53.011940002441406
1684213365630000000,25.225000244140624,-51.26035690307617
1684213365731000000,25.326,-53.390586853027344
1684213365831000000,25.426,-51.16931915283203
1684213365930000000,25.524999755859376,-50.49943923950195
1684213366030000000,25.625000244140626,-51.89315414428711
1684213366131000000,25.726,-49.97968292236328
1684213366230000000,25.825000244140625,-51.258731842041016
1684213366330000000,25.924999755859375,-52.92226028442383
1684213366430000000,26.025000244140625,-49.97024154663086
1684213366530000000,26.124999755859374,-50.724430084228516
1684213366630000000,26.225000244140624,-50.99277877807617
1684213366731000000,26.326,-53.248294830322266
1684213366831000000,26.426,-51.28014373779297
1684213366931000000,26.526,-53.27951431274414
1684213367031000000,26.626,-53.735416412353516
1684213367130000000,26.724999755859375,-54.96115493774414
1684213367230000000,26.825000244140625,-55.567710876464844
1684213367330000000,26.924999755859375,-48.42967224121094
1684213367430000000,27.025000244140625,-51.14519500732422
1684213367531000000,27.126,-50.973052978515625
1684213367630000000,27.225000244140624,-53.192195892333984
1684213367730000000,27.324999755859373,-53.77254867553711
1684213367830000000,27.425000244140627,-55.08515930175781
1684213367930000000,27.524999755859376,-51.188716888427734
1684213368035000000,27.63,-52.26273727416992
1684213368131000000,27.726,-51.972084045410156
1684213368230000000,27.825000244140625,-53.39550018310547
1684213368330000000,27.924999755859375,-53.95262908935547
1684213368430000000,28.025000244140625,-54.717247009277344
1684213368531000000,28.126,-56.25986099243164
1684213368630000000,28.225000244140624,-53.362831115722656
1684213368730000000,28.324999755859373,-54.994468688964844
1684213368830000000,28.425000244140627,-54.1494026184082
1684213368930000000,28.524999755859376,-55.305355072021484
1684213369031000000,28.626,-55.28997802734375
1684213369130000000,28.724999755859375,-53.724365234375
1684213369230000000,28.825000244140625,-54.72483825683594
1684213369330000000,28.924999755859375,-56.127994537353516
1684213369430000000,29.025000244140625,-50.6035041809082
1684213369530000000,29.124999755859374,-49.70412063598633
1684213369630000000,29.225000244140624,-51.37664031982422
1684213369747000000,29.342,-52.614830017089844
1684213369863000000,29.458,-54.58503723144531
1684213369963000000,29.558,-56.53361129760742
1684213370063000000,29.658,-54.50812911987305
1684213370167000000,29.762,-51.85357666015625
1684213370280000000,29.875,-53.785865783691406
1684213370381000000,29.976,-50.525089263916016
1684213371531000000,31.126,-53.023433685302734
1684213371632000000,31.227,-49.69929885864258
1684213371734000000,31.329000244140627,-51.82237243652344
1684213371836000000,31.431,-51.555259704589844
1684213371942000000,31.537000244140625,-50.09537124633789
1684213372043000000,31.638,-52.43446350097656
