time,seconds_elapsed,dBFS
1684212922181000000,8.297,-36.70881652832031
1684212922282000000,8.397999755859376,-37.84682083129883
1684212922381000000,8.497,-40.76494216918945
1684212922481000000,8.597,-44.09268569946289
1684212922581000000,8.697,-47.24228286743164
1684212922681000000,8.797,-49.274906158447266
1684212922781000000,8.897,-50.61296844482422
1684212922881000000,8.997,-49.86836624145508
1684212922981000000,9.097,-49.03003692626953
1684212923081000000,9.197,-45.28801345825195
1684212923181000000,9.297,-41.408058166503906
1684212923281000000,9.397,-39.64056396484375
1684212923380000000,9.496,-38.064083099365234
1684212923481000000,9.597,-41.43061447143555
1684212923581000000,9.697,-44.53445053100586
1684212923681000000,9.797,-47.57820129394531
1684212923781000000,9.897,-48.70083236694336
1684212923881000000,9.997,-50.900474548339844
1684212923981000000,10.097,-45.95722579956055
1684212924081000000,10.197,-48.94371032714844
1684212924181000000,10.297,-42.64576721191406
1684212924281000000,10.397,-45.18503189086914
1684212924381000000,10.497,-47.972068786621094
1684212924481000000,10.597,-50.29661560058594
1684212924581000000,10.697,-52.06655502319336
1684212924681000000,10.797,-53.91291809082031
1684212924781000000,10.897,-29.84937858581543
1684212924881000000,10.997,-33.429813385009766
1684212924981000000,11.097,-37.187068939208984
1684212925081000000,11.197,-41.29905700683594
1684212925181000000,11.297,-43.41205978393555
1684212925281000000,11.397,-39.16276168823242
1684212925381000000,11.497,-38.004005432128906
1684212925481000000,11.597,-38.207244873046875
1684212925581000000,11.697,-38.767059326171875
1684212925681000000,11.797,-36.33662796020508
1684212925798000000,11.914000244140626,-37.76076126098633
1684212925915000000,12.031,-39.32311248779297
1684212926031000000,12.147,-39.609806060791016
1684212926131000000,12.247,-40.46169662475586
1684212926231000000,12.347,-38.22295379638672
1684212926331000000,12.447,-39.38562774658203
1684212926430000000,12.546000244140625,-40.47685623168945
1684212926531000000,12.647,-42.41371154785156
1684212926631000000,12.747,-46.219398498535156
1684212926731000000,12.847,-49.14371109008789
1684212926831000000,12.947,-50.946136474609375
1684212926931000000,13.047,-47.78985595703125
1684212927031000000,13.147,-47.27003860473633
1684212927131000000,13.247,-48.15644836425781
1684212927231000000,13.347,-46.88570785522461
1684212927331000000,13.447,-49.463497161865234
1684212927431000000,13.547,-51.026893615722656
1684212927548000000,13.664,-51.30473327636719
1684212927664000000,13.78,-51.01703643798828
1684212927764000000,13.88,-52.95458984375
1684212927864000000,13.98,-53.56443405151367
1684212927964000000,14.08,-54.874271392822266
1684212928063000000,14.179,-53.67060089111328
1684212928165000000,14.281,-54.9168701171875
1684212928264000000,14.38,-56.153831481933594
1684212928364000000,14.48,-57.26074981689453
1684212928464000000,14.58,-51.165794372558594
1684212928564000000,14.68,-53.48308181762695
1684212928664000000,14.78,-50.165733337402344
1684212928764000000,14.88,-48.568477630615234
1684212928864000000,14.98,-45.45753479003906
1684212928964000000,15.08,-38.33452224731445
1684212929064000000,15.18,-39.59360122680664
1684212929164000000,15.28,-37.99720001220703
1684212929264000000,15.38,-36.55621337890625
1684212929364000000,15.48,-37.97821044921875
1684212929464000000,15.58,-39.93510055541992
1684212929564000000,15.68,-41.220115661621094
1684212929664000000,15.78,-39.093994140625
1684212929764000000,15.88,-40.305076599121094
1684212929864000000,15.98,-40.64664840698242
1684212929964000000,16.08,-38.72008514404297
1684212930064000000,16.18,-40.006229400634766
1684212930164000000,16.28,-43.20341491699219
1684212930264000000,16.38,-39.13425827026367
1684212930364000000,16.48,-41.20313262939453
1684212930464000000,16.58,-44.387054443359375
1684212930564000000,16.68,-46.88283157348633
1684212930664000000,16.78,-48.991512298583984
1684212930766000000,16.882000244140624,-51.597808837890625
1684212930881000000,16.997,-52.67195129394531
1684212930998000000,17.114000244140627,-32.95832061767578
1684212931114000000,17.229999755859374,-36.44304275512695
1684212931214000000,17.330000244140624,-39.50758743286133
1684212931314000000,17.429999755859374,-42.95489501953125
1684212931414000000,17.530000244140624,-46.639892578125
1684212931514000000,17.629999755859377,-49.240875244140625
1684212931614000000,17.730000244140626,-51.749366760253906
1684212931714000000,17.829999755859376,-31.787553787231445
1684212931814000000,17.930000244140626,-35.54100799560547
1684212931914000000,18.029999755859375,-39.28703308105469
1684212932014000000,18.130000244140625,-42.97623062133789
1684212932114000000,18.229999755859374,-46.86320495605469
1684212932214000000,18.330000244140624,-49.93661880493164
1684212932315000000,18.431,-48.038726806640625
1684212932414000000,18.530000244140624,-46.321006774902344
1684212932514000000,18.629999755859377,-34.96510314941406
1684212932614000000,18.730000244140626,-37.29571533203125
1684212932714000000,18.829999755859376,-39.3989372253418
1684212932814000000,18.930000244140626,-39.34468460083008
1684212932914000000,19.029999755859375,-40.120452880859375
1684212933014000000,19.130000244140625,-38.4371223449707
1684212933114000000,19.229999755859374,-39.56814193725586
1684212933213000000,19.329,-39.140201568603516
1684212933314000000,19.429999755859374,-39.59223556518555
1684212933414000000,19.530000244140624,-32.57449722290039
1684212933515000000,19.631,-34.37693405151367
1684212933614000000,19.730000244140626,-36.735294342041016
1684212933714000000,19.829999755859376,-38.660499572753906
1684212933814000000,19.930000244140626,-39.964229583740234
1684212933931000000,20.047,-43.75608444213867
1684212934047000000,20.163,-47.76714324951172
1684212934164000000,20.28,-50.85518264770508
1684212934264000000,20.38,-49.098331451416016
1684212934364000000,20.48,-45.23170852661133
1684212934464000000,20.58,-47.1408805847168
1684212934564000000,20.68,-49.48411178588867
1684212934664000000,20.78,-51.32671356201172
1684212934764000000,20.88,-53.01383590698242
1684212934865000000,20.981,-54.360389709472656
1684212934980000000,21.096,-54.28466796875
1684212935097000000,21.213,-55.60798645019531
1684212935214000000,21.330000244140624,-54.621185302734375
1684212935314000000,21.429999755859374,-52.432804107666016
1684212935430000000,21.546000244140625,-46.61668014526367
1684212935547000000,21.663,-49.439109802246094
1684212935647000000,21.763,-46.81940841674805
1684212935747000000,21.863,-41.8648681640625
1684212935848000000,21.964,-39.18889236450195
1684212935964000000,22.08,-41.02678680419922
1684212936064000000,22.18,-41.344791412353516
1684212936164000000,22.28,-41.21571731567383
1684212936280000000,22.396,-40.14601516723633
1684212936397000000,22.513,-39.98077392578125
1684212936497000000,22.613,-36.430599212646484
1684212936597000000,22.713,-37.94900894165039
1684212936697000000,22.813,-39.15769958496094
1684212936797000000,22.913,-40.451622009277344
1684212936897000000,23.013,-39.152992248535156
1684212937014000000,23.130000244140625,-37.495365142822266
1684212937114000000,23.229999755859374,-40.836490631103516
1684212937214000000,23.330000244140624,-43.982872009277344
1684212937314000000,23.429999755859374,-47.39766311645508
1684212937430000000,23.546000244140625,-48.23762130737305
1684212937547000000,23.663,-38.40687561035156
1684212937647000000,23.763,-41.135833740234375
1684212937747000000,23.863,-43.967079162597656
1684212937847000000,23.963,-46.59706497192383
1684212937947000000,24.063,-48.711692810058594
1684212938047000000,24.163,-47.327667236328125
1684212938147000000,24.263,-45.616554260253906
1684212938247000000,24.363,-48.662498474121094
1684212938347000000,24.463,-50.941410064697266
1684212938447000000,24.563,-52.3956413269043
1684212938547000000,24.663,-53.75300598144531
1684212938647000000,24.763,-53.254940032958984
1684212938747000000,24.863,-55.04104232788086
1684212938847000000,24.963,-55.7309455871582
